"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"99","DNF","40","Wolfgang von Trips","Germany","Scuderia Ferrari","91","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"100","DNF","58","Jo Bonnier","Sweden","Jo Bonnier","71","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"101","DNF","26","Graham Hill","Great Britain","Team Lotus","69","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"102","DNF","18","Roy Salvadori","Great Britain","Cooper Car Co","56","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"103","DNF","38","Mike Hawthorn","Great Britain","Scuderia Ferrari","47","","","","","1:40.600","36","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"104","DNF","28","Stirling Moss","Great Britain","Vandervell Products","38","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"105","DNF","6","Jean Behra","France","Owen Racing Organisation","29","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"106","DNF","46","Giorgio Scarlatti","Italy","Giorgio Scarlatti","28","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"107","DNF","30","Tony Brooks","Great Britain","Vandervell Products","22","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"108","DNF","32","Stuart Lewis-Evans","Great Britain","Vandervell Products","11","","","","","","","May 18, 1958","Circuit de Monaco","monaco-grand-prix",1958
"109","1","28","Tony Brooks","Great Britain","Vandervell Products","70","2:03:47.800","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"110","2","14","Mike Hawthorn","Great Britain","Scuderia Ferrari","70","2:04:12.000","+ 24.200","+ 24.200","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"111","3","18","Phil Hill","USA","Scuderia Ferrari","70","2:04:16.100","+ 28.300","+ 4.100","","1:42.900","26","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"112","4","32","Masten Gregory","USA","Temple Buell","69","","1 Lap","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"113","4","32","Carroll Shelby","USA","Scuderia Centro Sud","69","","1 Lap","1 Lap","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"114","5","6","Roy Salvadori","Great Britain","Cooper Car Co","62","","8 Laps","7 Laps","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"115","6","38","Graham Hill","Great Britain","Team Lotus","62","","8 Laps","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"116","7","36","Cliff Allison","Great Britain","Team Lotus","61","","9 Laps","1 Lap","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"117","DNF","42","Maria Teresa de Filippis","Italy","Maria Teresa de Filippis","57","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"118","DNF","22","Giulio Cabianca","Italy","Ecurie Bonnier","51","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"119","DNF","8","Jean Behra","France","Owen Racing Organisation","42","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"120","DNF","24","Hans Herrmann","Germany","Ecurie Bonnier","32","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"121","DNF","30","Stuart Lewis-Evans","Great Britain","Vandervell Products","30","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"122","DNF","2","Maurice Trintignant","France","R R C Walker Racing Team","24","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"123","DNF","26","Stirling Moss","Great Britain","Vandervell Products","17","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"124","DNF","12","Jo Bonnier","Sweden","Owen Racing Organisation","14","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"125","DNF","20","Olivier Gendebien","Belgium","Scuderia Ferrari","4","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"126","DNF","40","Gerino Gerini","Italy","Scuderia Centro Sud","2","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"127","DNF","34","Carroll Shelby","USA","Scuderia Centro Sud","1","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"128","DNF","16","Wolfgang von Trips","Germany","Scuderia Ferrari","","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"129","DNF","10","Harry Schell","USA","Owen Racing Organisation","","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"130","DNF","4","Jack Brabham","Australia","Cooper Car Co","","","","","","","","Sep 7, 1958","Autodromo Nazionale Monza","italian-grand-prix",1958
"131","1","4","Tony Brooks","Great Britain","Vandervell Products","24","1:37:06.300","","","209.100","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"132","2","16","Mike Hawthorn","Great Britain","Scuderia Ferrari","24","1:37:27.000","+ 20.700","+ 20.700","208.400","3:58.300","24","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"133","3","6","Stuart Lewis-Evans","Great Britain","Vandervell Products","24","1:40:07.200","+ 3:00.900","+ 2:40.200","202.800","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"134","4","40","Cliff Allison","Great Britain","Team Lotus","24","1:41:21.800","+ 4:15.500","+ 1:14.600","200.300","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"135","5","10","Harry Schell","USA","Owen Racing Organisation","23","","1 Lap","1 Lap","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"136","6","20","Olivier Gendebien","Belgium","Scuderia Ferrari","23","","1 Lap","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"137","7","28","Maurice Trintignant","France","Scuderia Centro Sud","23","","1 Lap","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"138","8","24","Roy Salvadori","Great Britain","Cooper Car Co","23","","1 Lap","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"139","9","36","Jo Bonnier","Sweden","Jo Bonnier","22","","2 Laps","1 Lap","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"140","10","26","Maria Teresa de Filippis","Italy","Maria Teresa de Filippis","22","","2 Laps","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"141","DNF","38","Paco Godia","Spain","Francisco Godia Sales","22","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"142","DNF","22","Jack Brabham","Australia","Cooper Car Co","16","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"143","DNF","42","Graham Hill","Great Britain","Team Lotus","12","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"144","DNF","18","Luigi Musso","Italy","Scuderia Ferrari","5","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"145","DNF","14","Peter Collins","Great Britain","Scuderia Ferrari","5","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"146","DNF","8","Jean Behra","France","Owen Racing Organisation","5","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"147","DNF","32","Wolfgang Seidel","Germany","Scuderia Centro Sud","4","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"148","DNF","2","Stirling Moss","Great Britain","Vandervell Products","","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"149","DNF","30","Masten Gregory","USA","Scuderia Centro Sud","","","","","","","","Jun 15, 1958","Circuit de Spa-Francorchamps","belgian-grand-prix",1958
"150","1","14","Stirling Moss","Great Britain","R R C Walker Racing Team","80","2:19:33.700","","","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"151","2","16","Luigi Musso","Italy","Scuderia Ferrari","80","2:19:36.400","+ 2.700","+ 2.700","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"152","3","20","Mike Hawthorn","Great Britain","Scuderia Ferrari","80","2:19:46.300","+ 12.600","+ 9.900","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"153","4","2","Juan Manuel Fangio","Argentina","Scuderia Sud Americana","80","2:20:26.700","+ 53.000","+ 40.400","","1:41.800","30","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"154","5","4","Jean Behra","France","Ken Kavanagh","78","","2 Laps","2 Laps","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"155","6","8","Harry Schell","USA","Ecurie Bonnier","77","","3 Laps","1 Lap","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"156","7","6","Carlos Menditeguy","Argentina","Scuderia Sud Americana","76","","4 Laps","1 Lap","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"157","8","10","Paco Godia","Spain","Francisco Godia Sales","75","","5 Laps","1 Lap","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"158","9","12","Horace Gould","Great Britain","H H Gould","71","","9 Laps","4 Laps","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"159","DNF","18","Peter Collins","Great Britain","Scuderia Ferrari","","","","","","","","Jan 19, 1958","Autódromo Juan y Oscar Gálvez","argentine-grand-prix",1958
"160","1","8","Tony Brooks","Great Britain","Vandervell Products","15","2:21:15.000","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"161","2","10","Roy Salvadori","Great Britain","Cooper Car Co","15","2:24:44.700","+ 3:29.700","+ 3:29.700","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"162","3","11","Maurice Trintignant","France","R R C Walker Racing Team","15","2:26:26.200","+ 5:11.200","+ 1:41.500","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"163","4","4","Wolfgang von Trips","Germany","Scuderia Ferrari","15","2:27:31.300","+ 6:16.300","+ 1:05.100","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"164","5","12","Cliff Allison","Great Britain","Team Lotus","13","","2 Laps","2 Laps","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"165","DNF","3","Mike Hawthorn","Great Britain","Scuderia Ferrari","11","","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"166","DNF","2","Peter Collins","Great Britain","Scuderia Ferrari","10","","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"167","DNF","6","Harry Schell","USA","Owen Racing Organisation","9","","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"168","DNF","5","Jean Behra","France","Owen Racing Organisation","4","","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"169","DNF","17","Hans Herrmann","Germany","Scuderia Centro Sud","3","","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"170","DNF","7","Stirling Moss","Great Britain","Vandervell Products","3","","","","","9:09.200","3","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"171","DNF","16","Jo Bonnier","Sweden","Scuderia Centro Sud","1","","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"172","DNS","14","Troy Ruttman","USA","Scuderia Centro Sud","","","","","","","","Aug 3, 1958","Nurburgring","german-grand-prix",1958
"173","1","2","Stirling Moss","Great Britain","Vandervell Products","50","2:11:27.800","","","","","","Aug 24, 1958","Circuito da Boavista","portuguese-grand-prix",1958
