"","ENGINE","Date","year","gp_name","circuit","Pos","Driver","Time","Kph","race_pos","exp","circuit_length","points","race_points","wdc_points","wdc_points_shift","new_team","new_engine","team_index","driver_index","engine_index","race_index"
"88","Talbot CV",1950-06-18,1950,"belgian-grand-prix","Circuit de Spa-Francorchamps",10,"Pierre Levegh",301,168.877,7,1,14.1199603185579,0,0,0,0,"Other","Talbot CV",2,23,3,4
"89","Maserati",1950-07-02,1950,"french-grand-prix","Reims-Gueux",7,"Franco Rol",166.7,168.77,99,2,8.18737912037037,0,0,0,0,"Officine Alfieri Maserati","Maserati",3,25,2,4
"90","Maserati",1950-07-02,1950,"french-grand-prix","Reims-Gueux",8,"Jose Froilan Gonzalez",168,167.464,99,2,8.18737912037037,0,0,0,0,"Other","Maserati",2,11,2,4
"91","Ferrari",1950-09-03,1950,"italian-grand-prix","Autodromo Nazionale Monza",2,"Alberto Ascari",118.8,190.909,2,4,6.29998271904762,1,6,6,0,"Ferrari","Ferrari",5,19,6,4
"92","ERA",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",12,"Brian Shawe-Taylor",118.2,142.652329208968,8,1,4.68375147569444,0,0,0,0,"Solo","other",4,36,4,4
"93","Alta",1951-07-14,1951,"british-grand-prix","Silverstone Circuit",18,"Joe Kelly",138.4,121.83168578396,99,2,4.68375147569444,0,0,0,0,"Solo","Alta",4,38,5,4
"94","Simca-Gordini",1951-07-29,1951,"german-grand-prix","Nurburgring",12,"Andre Simon",657.5,124.890791502389,99,2,22.8099153924501,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,42,7,4
"95","Simca-Gordini",1951-07-29,1951,"german-grand-prix","Nurburgring",14,"Maurice Trintignant",667.5,123.01976840872,99,4,22.8099153924501,0,0,0,0,"Equipe Gordini","Simca-Gordini",6,27,7,4
"96","Gordini ",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",21,"Maurice Trintignant",120,140.512544270833,99,8,4.68375147569444,0,0,0,0,"Equipe Gordini","Gordini ",6,27,8,4
"97","Gordini ",1952-07-19,1952,"british-grand-prix","Silverstone Circuit",23,"Johnny Claes",122,138.209059938525,14,16,4.68375147569444,0,0,0,0,"Other","Gordini ",2,18,8,4
"98","Bristol",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",12,"Mike Hawthorn",131.2,172.865,99,5,6.29998271904762,0,0,4,4,"Solo","Bristol",4,58,9,4
"99","Bristol",1952-09-07,1952,"italian-grand-prix","Autodromo Nazionale Monza",21,"Alan Brown",135,168,15,4,6.29998271904762,0,0,2,2,"Other","Bristol",2,50,9,4
"100","Veritas",1953-08-02,1953,"german-grand-prix","Nurburgring",14,"Hans Herrmann",659.8,124.455,9,1,22.8099153924501,0,0,0,0,"Solo","other",4,74,4,4
"101","Veritas",1953-08-02,1953,"german-grand-prix","Nurburgring",28,"Theo Helfrich",716.3,114.639,12,2,22.8099153924501,0,0,0,0,"Solo","other",4,80,4,4
"102","Veritas",1953-08-02,1953,"german-grand-prix","Nurburgring",29,"Wolfgang Seidel",719.3,114.16,16,1,22.8099153924501,0,0,0,0,"Solo","other",4,81,4,4
"103","Osca",1953-09-13,1953,"italian-grand-prix","Autodromo Nazionale Monza",13,"Elie Bayol",127.8,177.464301945003,99,3,6.29998271904762,0,0,0,0,"Solo","other",4,66,4,4
"104","Francis",1953-06-07,1953,"dutch-grand-prix","Circuit Zandvoort",14,"Kenneth McAlpine",121.9,123.829,99,3,4.1929854619883,0,0,0,0,"Connaught Engineering","Francis",9,75,10,4
"105","Mercedes",1954-08-22,1954,"swiss-grand-prix","Circuit Bremgarten",7,"Hans Herrmann",165,158.835876283892,3,4,7.2799776630117,1,4,4,0,"Daimler Benz AG","Mercedes",10,74,11,4
"106","Vanwall",1955-09-11,1955,"italian-grand-prix","Autodromo Nazionale Monza",13,"Harry Schell",175.5,129.230414749695,99,24,6.29998271904762,0,0,0,0,"Other","other",2,52,4,4
"107","Lancia DS",1955-06-05,1955,"belgian-grand-prix","Circuit de Spa-Francorchamps",1,"Eugenio Castellotti",258.1,196.946,99,3,14.1199603185579,0,0,2,2,"Other","other",2,102,4,4
