"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","date","circuit","gp_name","year"
"139","DNF","2","Johnny Claes","Belgium","Ecurie Belge","22","","","","","2:19.000","20","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"140","DNF","16","Alberto Ascari","Italy","Scuderia Ferrari","21","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"141","DNF","22","Clemente Biondetti","Italy","Clemente Biondetti","17","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"142","DNF","64","Henri Louveau","France","Ecurie Rosier","16","","","","","2:15.000","5","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"143","DNF","62","Franco Comotti","Italy","Scuderia Milano","15","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"144","DNF","42","Maurice Trintignant","France","Equipe Gordini","13","","","","","2:10.200","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"145","DNF","6","Louis Chiron","Monaco","Officine Alfieri Maserati","13","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"146","DNF","46","Consalvo Sanesi","Italy","Alfa Romeo SpA","11","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"147","DNF","44","Robert Manzon","France","Equipe Gordini","7","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"148","DNF","30","Prince Bira","Thailand","Enrico Plate","1","2:22.000","","","159.718","2:22.000","1","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"149","DNF","28","Paul Pietsch","Germany","Paul Pietsch","","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"150","DNS","52","Felice Bonetto","Italy","Scuderia Milano","","","","","","","","Sep 3, 1950","Autodromo Nazionale Monza","italian-grand-prix",1950
"151","1","8","Juan Manuel Fangio","Argentina","Alfa Romeo SpA","77","3:22:11.000","","","","2:27.800","32","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
"152","1","8","Luigi Fagioli","Italy","Alfa Romeo SpA","77","3:22:11.000","","","","","","Jul 1, 1951","Reims-Gueux","french-grand-prix",1951
